# Gene Family	demo_Abundance-CPM
2-AMINOADIPATE-AMINOTRANSFERASE-RXN: (expasy) 2-aminoadipate transaminase [2.6.1.39]|unclassified	305.4526
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169]	315.561
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169]|unclassified	315.561
2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13]	351.509
2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13]|unclassified	351.509
2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16]	275.2086
2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16]|unclassified	275.2086
2-OXOBUTYRATE-SYNTHASE-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	115.113
2-OXOBUTYRATE-SYNTHASE-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]|unclassified	115.113
2-OXOGLUTARATE-SYNTHASE-RXN: (expasy) 2-oxoglutarate synthase [1.2.7.3]	121.873
2-OXOGLUTARATE-SYNTHASE-RXN: (expasy) 2-oxoglutarate synthase [1.2.7.3]|unclassified	121.873
2.1.1.34-RXN: (expasy) tRNA (guanosine(18)-2'-O)-methyltransferase [2.1.1.34]	138.33
2.1.1.34-RXN: (expasy) tRNA (guanosine(18)-2'-O)-methyltransferase [2.1.1.34]|unclassified	138.33
2.1.1.63-RXN: (expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63]	317.794
2.1.1.63-RXN: (expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63]|unclassified	317.794
2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72]	1872.829
2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72]|unclassified	1872.829
2.1.3.1-RXN: (expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1]	70.3673
2.1.3.1-RXN: (expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1]|unclassified	70.3673
2.1.3.9-RXN: (expasy) N-acetylornithine carbamoyltransferase [2.1.3.9]	522.886
2.1.3.9-RXN: (expasy) N-acetylornithine carbamoyltransferase [2.1.3.9]|unclassified	522.886
2.3.1.128-RXN: (expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266]	178.015
2.3.1.128-RXN: (expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266]|unclassified	178.015
2.3.1.179-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase II [2.3.1.179]	467.3169
2.3.1.179-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase II [2.3.1.179]|unclassified	467.3169
2.3.1.180-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase III [2.3.1.180]	1103.3696
2.3.1.180-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase III [2.3.1.180]|unclassified	1103.3696
2.3.1.41-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase I [2.3.1.41]	260.763
2.3.1.41-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase I [2.3.1.41]|unclassified	260.763
2.3.1.89-RXN: (expasy) Tetrahydrodipicolinate N-acetyltransferase [2.3.1.89]	324.108
2.3.1.89-RXN: (expasy) Tetrahydrodipicolinate N-acetyltransferase [2.3.1.89]|unclassified	324.108
2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]	792.172
2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]|unclassified	792.172
2.4.1.54-RXN: (expasy) Undecaprenyl-phosphate mannosyltransferase [2.4.1.54]	178.294
2.4.1.54-RXN: (expasy) Undecaprenyl-phosphate mannosyltransferase [2.4.1.54]|unclassified	178.294
2.5.1.19-RXN: (expasy) 3-phosphoshikimate 1-carboxyvinyltransferase [2.5.1.19]	504.952
2.5.1.19-RXN: (expasy) 3-phosphoshikimate 1-carboxyvinyltransferase [2.5.1.19]|unclassified	504.952
2.5.1.64-RXN: (expasy) synthase [2.2.1.9]	375.197
2.5.1.64-RXN: (expasy) synthase [2.2.1.9]|unclassified	375.197
2.6.1.37-RXN: (metacyc) phosphonoacetaldehyde transaminase [2.6.1.37]	487.18950000000007
2.6.1.37-RXN: (metacyc) phosphonoacetaldehyde transaminase [2.6.1.37]|unclassified	487.18950000000007
2.7.1.148-RXN: (expasy) 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148]	436.733
2.7.1.148-RXN: (expasy) 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148]|unclassified	436.733
2.7.1.90-RXN: (expasy) Diphosphate--fructose-6-phosphate 1-phosphotransferase [2.7.1.90]	182.351
2.7.1.90-RXN: (expasy) Diphosphate--fructose-6-phosphate 1-phosphotransferase [2.7.1.90]|unclassified	182.351
2.7.10.1-RXN: (expasy) AMBIGUOUS [2.7.10.1; 2.7.10.2; 2.7.12.1]	80.0994
2.7.10.1-RXN: (expasy) AMBIGUOUS [2.7.10.1; 2.7.10.2; 2.7.12.1]|unclassified	80.0994
2.7.13.3-RXN: (expasy) Histidine kinase [2.7.13.3]	13690.772500000005
2.7.13.3-RXN: (expasy) Histidine kinase [2.7.13.3]|unclassified	13690.772500000005
2.7.7.13-RXN: (expasy) Mannose-1-phosphate guanylyltransferase [2.7.7.13]	1270.172
2.7.7.13-RXN: (expasy) Mannose-1-phosphate guanylyltransferase [2.7.7.13]|unclassified	1270.172
2.7.7.33-RXN: (expasy) Glucose-1-phosphate cytidylyltransferase [2.7.7.33]	654.616
2.7.7.33-RXN: (expasy) Glucose-1-phosphate cytidylyltransferase [2.7.7.33]|unclassified	654.616
2.7.7.8-RXN: (expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8]	463.67100000000005
2.7.7.8-RXN: (expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8]|unclassified	463.67100000000005
2.7.8.11-RXN: (expasy) CDP-diacylglycerol--inositol 3-phosphatidyltransferase [2.7.8.11]	106.983
2.7.8.11-RXN: (expasy) CDP-diacylglycerol--inositol 3-phosphatidyltransferase [2.7.8.11]|unclassified	106.983
2.7.8.6-RXN: (expasy) Undecaprenyl-phosphate galactose phosphotransferase [2.7.8.6]	98.1305
2.7.8.6-RXN: (expasy) Undecaprenyl-phosphate galactose phosphotransferase [2.7.8.6]|unclassified	98.1305
2.8.1.6-RXN: (expasy) Biotin synthase [2.8.1.6]	501.0906
2.8.1.6-RXN: (expasy) Biotin synthase [2.8.1.6]|unclassified	501.0906
2PGADEHYDRAT-RXN: (expasy) Phosphopyruvate hydratase [4.2.1.11]	584.7884
2PGADEHYDRAT-RXN: (expasy) Phosphopyruvate hydratase [4.2.1.11]|unclassified	584.7884
2TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]	266.962
2TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]|unclassified	266.962
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11]	450.2234
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11]|unclassified	450.2234
3-DEHYDROQUINATE-DEHYDRATASE-RXN: (expasy) 3-dehydroquinate dehydratase [4.2.1.10]	375.8889
3-DEHYDROQUINATE-DEHYDRATASE-RXN: (expasy) 3-dehydroquinate dehydratase [4.2.1.10]|unclassified	375.8889
3-DEHYDROQUINATE-SYNTHASE-RXN: (expasy) 3-dehydroquinate synthase [4.2.3.4]	163.546
3-DEHYDROQUINATE-SYNTHASE-RXN: (expasy) 3-dehydroquinate synthase [4.2.3.4]|unclassified	163.546
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]	587.0914
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]|unclassified	587.0914
3-OXOACYL-ACP-REDUCT-RXN: (expasy) 3-oxoacyl-[acyl-carrier-protein] reductase [1.1.1.100]	1375.6847999999998
3-OXOACYL-ACP-REDUCT-RXN: (expasy) 3-oxoacyl-[acyl-carrier-protein] reductase [1.1.1.100]|unclassified	1375.6847999999998
3-OXOACYL-ACP-SYNTH-BASE-RXN: (expasy) AMBIGUOUS [2.3.1.179; 2.3.1.41]	467.3169
3-OXOACYL-ACP-SYNTH-BASE-RXN: (expasy) AMBIGUOUS [2.3.1.179; 2.3.1.41]|unclassified	467.3169
3-OXOACYL-ACP-SYNTH-RXN: (expasy) AMBIGUOUS [2.3.1.179; 2.3.1.41]	260.763
3-OXOACYL-ACP-SYNTH-RXN: (expasy) AMBIGUOUS [2.3.1.179; 2.3.1.41]|unclassified	260.763
3.1.11.6-RXN: (expasy) Exodeoxyribonuclease VII [3.1.11.6]	1110.4072
3.1.11.6-RXN: (expasy) Exodeoxyribonuclease VII [3.1.11.6]|unclassified	1110.4072
3.1.13.1-RXN: (expasy) Exoribonuclease II [3.1.13.1]	545.6952
3.1.13.1-RXN: (expasy) Exoribonuclease II [3.1.13.1]|unclassified	545.6952
3.1.21.2-RXN: (expasy) Deoxyribonuclease IV [3.1.21.2]	321.193
3.1.21.2-RXN: (expasy) Deoxyribonuclease IV [3.1.21.2]|unclassified	321.193
3.1.21.3-RXN: (expasy) Type I site-specific deoxyribonuclease [3.1.21.3]	927.9850000000001
3.1.21.3-RXN: (expasy) Type I site-specific deoxyribonuclease [3.1.21.3]|unclassified	927.9850000000001
3.1.21.4-RXN: (expasy) Type II site-specific deoxyribonuclease [3.1.21.4]	685.7623000000001
3.1.21.4-RXN: (expasy) Type II site-specific deoxyribonuclease [3.1.21.4]|unclassified	685.7623000000001
3.1.26.11-RXN: (expasy) Ribonuclease Z [3.1.26.11]	682.346
3.1.26.11-RXN: (expasy) Ribonuclease Z [3.1.26.11]|unclassified	682.346
3.1.26.3-RXN: (expasy) Ribonuclease III [3.1.26.3]	261.49789999999996
3.1.26.3-RXN: (expasy) Ribonuclease III [3.1.26.3]|unclassified	261.49789999999996
3.1.26.4-RXN: (expasy) Ribonuclease H [3.1.26.4]	662.4147
3.1.26.4-RXN: (expasy) Ribonuclease H [3.1.26.4]|unclassified	662.4147
3.1.26.5-RXN: (expasy) Ribonuclease P [3.1.26.5]	110.027
3.1.26.5-RXN: (expasy) Ribonuclease P [3.1.26.5]|unclassified	110.027
3.2.1.1-RXN: (expasy) Alpha-amylase [3.2.1.1]	495.8436
3.2.1.1-RXN: (expasy) Alpha-amylase [3.2.1.1]|unclassified	495.8436
3.2.1.131-RXN: (expasy) Xylan alpha-1,2-glucuronosidase [3.2.1.131]	548.326
3.2.1.131-RXN: (expasy) Xylan alpha-1,2-glucuronosidase [3.2.1.131]|unclassified	548.326
3.2.1.135-RXN: (expasy) Neopullulanase [3.2.1.135]	623.7049999999999
3.2.1.135-RXN: (expasy) Neopullulanase [3.2.1.135]|unclassified	623.7049999999999
3.2.1.151-RXN: (expasy) Xyloglucan-specific endo-beta-1,4-glucanase [3.2.1.151]	465.305
3.2.1.151-RXN: (expasy) Xyloglucan-specific endo-beta-1,4-glucanase [3.2.1.151]|unclassified	465.305
3.2.1.165-RXN: (expasy) Exo-1,4-beta-D-glucosaminidase [3.2.1.165]	1250.9350000000002
3.2.1.165-RXN: (expasy) Exo-1,4-beta-D-glucosaminidase [3.2.1.165]|unclassified	1250.9350000000002
3.2.1.17-RXN: (expasy) Lysozyme [3.2.1.17]	578.347
3.2.1.17-RXN: (expasy) Lysozyme [3.2.1.17]|unclassified	578.347
3.2.1.18-RXN: (expasy) Exo-alpha-sialidase [3.2.1.18]	308.75100000000003
3.2.1.18-RXN: (expasy) Exo-alpha-sialidase [3.2.1.18]|unclassified	308.75100000000003
3.2.1.21-RXN: (expasy) Beta-glucosidase [3.2.1.21]	2427.5025
3.2.1.21-RXN: (expasy) Beta-glucosidase [3.2.1.21]|unclassified	2427.5025
3.2.1.23-RXN: (expasy) Beta-galactosidase [3.2.1.23]	3618.6432
3.2.1.23-RXN: (expasy) Beta-galactosidase [3.2.1.23]|unclassified	3618.6432
3.2.1.25-RXN: (expasy) Beta-mannosidase [3.2.1.25]	529.009
3.2.1.25-RXN: (expasy) Beta-mannosidase [3.2.1.25]|unclassified	529.009
3.2.1.3-RXN: (expasy) Glucan 1,4-alpha-glucosidase [3.2.1.3]	377.14
3.2.1.3-RXN: (expasy) Glucan 1,4-alpha-glucosidase [3.2.1.3]|unclassified	377.14
3.2.1.37-RXN: (expasy) Xylan 1,4-beta-xylosidase [3.2.1.37]	762.766
3.2.1.37-RXN: (expasy) Xylan 1,4-beta-xylosidase [3.2.1.37]|unclassified	762.766
3.2.1.49-RXN: (expasy) Alpha-N-acetylgalactosaminidase [3.2.1.49]	322.116
3.2.1.49-RXN: (expasy) Alpha-N-acetylgalactosaminidase [3.2.1.49]|unclassified	322.116
3.2.1.50-RXN: (expasy) Alpha-N-acetylglucosaminidase [3.2.1.50]	587.575
3.2.1.50-RXN: (expasy) Alpha-N-acetylglucosaminidase [3.2.1.50]|unclassified	587.575
3.2.1.52-RXN: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]	1491.1409999999998
3.2.1.52-RXN: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]|unclassified	1491.1409999999998
3.2.1.55-RXN: (expasy) Non-reducing end alpha-L-arabinofuranosidase [3.2.1.55]	1942.461
3.2.1.55-RXN: (expasy) Non-reducing end alpha-L-arabinofuranosidase [3.2.1.55]|unclassified	1942.461
3.2.1.6-RXN: (expasy) Endo-1,3(4)-beta-glucanase [3.2.1.6]	251.54
3.2.1.6-RXN: (expasy) Endo-1,3(4)-beta-glucanase [3.2.1.6]|unclassified	251.54
3.2.1.78-RXN: (expasy) Mannan endo-1,4-beta-mannosidase [3.2.1.78]	520.542
3.2.1.78-RXN: (expasy) Mannan endo-1,4-beta-mannosidase [3.2.1.78]|unclassified	520.542
3.2.1.8-RXN: (expasy) Endo-1,4-beta-xylanase [3.2.1.8]	1039.958
3.2.1.8-RXN: (expasy) Endo-1,4-beta-xylanase [3.2.1.8]|unclassified	1039.958
3.2.1.80-RXN: (expasy) AMBIGUOUS [3.2.1.153; 3.2.1.80]	121.79
3.2.1.80-RXN: (expasy) AMBIGUOUS [3.2.1.153; 3.2.1.80]|unclassified	121.79
3.2.1.82-RXN: (expasy) Exo-poly-alpha-digalacturonosidase [3.2.1.82]	940.261
3.2.1.82-RXN: (expasy) Exo-poly-alpha-digalacturonosidase [3.2.1.82]|unclassified	940.261
3.2.1.89-RXN: (expasy) Arabinogalactan endo-beta-1,4-galactanase [3.2.1.89]	244.862
3.2.1.89-RXN: (expasy) Arabinogalactan endo-beta-1,4-galactanase [3.2.1.89]|unclassified	244.862
3.2.1.96-RXN: (expasy) Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [3.2.1.96]	505.437
3.2.1.96-RXN: (expasy) Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [3.2.1.96]|unclassified	505.437
3.2.1.99-RXN: (expasy) Arabinan endo-1,5-alpha-L-arabinosidase [3.2.1.99]	381.82399999999996
3.2.1.99-RXN: (expasy) Arabinan endo-1,5-alpha-L-arabinosidase [3.2.1.99]|unclassified	381.82399999999996
3.4.11.18-RXN: (expasy) Methionyl aminopeptidase [3.4.11.18]	1150.757
3.4.11.18-RXN: (expasy) Methionyl aminopeptidase [3.4.11.18]|unclassified	1150.757
3.4.11.4-RXN: (expasy) Tripeptide aminopeptidase [3.4.11.4]	523.8942999999999
3.4.11.4-RXN: (expasy) Tripeptide aminopeptidase [3.4.11.4]|unclassified	523.8942999999999
3.4.11.9-RXN: (expasy) Xaa-Pro aminopeptidase [3.4.11.9]	275.956
3.4.11.9-RXN: (expasy) Xaa-Pro aminopeptidase [3.4.11.9]|unclassified	275.956
3.4.13.18-RXN: (expasy) Cytosol nonspecific dipeptidase [3.4.13.18]	63.7906
3.4.13.18-RXN: (expasy) Cytosol nonspecific dipeptidase [3.4.13.18]|unclassified	63.7906
3.4.13.20-RXN: (expasy) Beta-Ala-His dipeptidase [3.4.13.20]	74.5929
3.4.13.20-RXN: (expasy) Beta-Ala-His dipeptidase [3.4.13.20]|unclassified	74.5929
3.4.13.22-RXN: (expasy) D-Ala-D-Ala dipeptidase [3.4.13.22]	626.242
3.4.13.22-RXN: (expasy) D-Ala-D-Ala dipeptidase [3.4.13.22]|unclassified	626.242
3.4.14.12-RXN: (expasy) Xaa-Xaa-Pro tripeptidyl-peptidase [3.4.14.12]	1154.675
3.4.14.12-RXN: (expasy) Xaa-Xaa-Pro tripeptidyl-peptidase [3.4.14.12]|unclassified	1154.675
3.4.14.4-RXN: (expasy) Dipeptidyl-peptidase III [3.4.14.4]	311.8277
3.4.14.4-RXN: (expasy) Dipeptidyl-peptidase III [3.4.14.4]|unclassified	311.8277
3.4.15.5-RXN: (expasy) Peptidyl-dipeptidase Dcp [3.4.15.5]	312.6186
3.4.15.5-RXN: (expasy) Peptidyl-dipeptidase Dcp [3.4.15.5]|unclassified	312.6186
3.4.16.4-RXN: (expasy) Serine-type D-Ala-D-Ala carboxypeptidase [3.4.16.4]	348.839
3.4.16.4-RXN: (expasy) Serine-type D-Ala-D-Ala carboxypeptidase [3.4.16.4]|unclassified	348.839
3.4.17.8-RXN: (expasy) AMBIGUOUS [3.4.16.4; 3.4.17.8]	348.839
3.4.17.8-RXN: (expasy) AMBIGUOUS [3.4.16.4; 3.4.17.8]|unclassified	348.839
3.4.21.102-RXN: (expasy) C-terminal processing peptidase [3.4.21.102]	629.412
3.4.21.102-RXN: (expasy) C-terminal processing peptidase [3.4.21.102]|unclassified	629.412
3.4.21.105-RXN: (expasy) Rhomboid protease [3.4.21.105]	162.897
3.4.21.105-RXN: (expasy) Rhomboid protease [3.4.21.105]|unclassified	162.897
3.4.21.107-RXN: (expasy) Peptidase Do [3.4.21.107]	230.84300000000002
3.4.21.107-RXN: (expasy) Peptidase Do [3.4.21.107]|unclassified	230.84300000000002
3.4.21.53-RXN: (expasy) Endopeptidase La [3.4.21.53]	752.5992
3.4.21.53-RXN: (expasy) Endopeptidase La [3.4.21.53]|unclassified	752.5992
3.4.21.88-RXN: (expasy) Repressor LexA [3.4.21.88]	66.9868
3.4.21.88-RXN: (expasy) Repressor LexA [3.4.21.88]|unclassified	66.9868
3.4.21.89-RXN: (expasy) Signal peptidase I [3.4.21.89]	697.7472
3.4.21.89-RXN: (expasy) Signal peptidase I [3.4.21.89]|unclassified	697.7472
3.4.21.92-RXN: (expasy) Endopeptidase Clp [3.4.21.92]	1041.339
3.4.21.92-RXN: (expasy) Endopeptidase Clp [3.4.21.92]|unclassified	1041.339
3.4.22.10-RXN: (expasy) Streptopain [3.4.22.10]	135.428
3.4.22.10-RXN: (expasy) Streptopain [3.4.22.10]|unclassified	135.428
3.4.22.40-RXN: (expasy) Bleomycin hydrolase [3.4.22.40]	137.966
3.4.22.40-RXN: (expasy) Bleomycin hydrolase [3.4.22.40]|unclassified	137.966
3.4.23.43-RXN: (expasy) Prepilin peptidase [3.4.23.43]	95.4896
3.4.23.43-RXN: (expasy) Prepilin peptidase [3.4.23.43]|unclassified	95.4896
3.4.24.55-RXN: (expasy) Pitrilysin [3.4.24.55]	494.71700000000004
3.4.24.55-RXN: (expasy) Pitrilysin [3.4.24.55]|unclassified	494.71700000000004
3.5.1.27-RXN: (expasy) Peptide deformylase [3.5.1.88]	489.906
3.5.1.27-RXN: (expasy) Peptide deformylase [3.5.1.88]|unclassified	489.906
3.5.1.80-RXN: (expasy) N-acetylglucosamine-6-phosphate deacetylase [3.5.1.25]	400.51709999999997
3.5.1.80-RXN: (expasy) N-acetylglucosamine-6-phosphate deacetylase [3.5.1.25]|unclassified	400.51709999999997
3.5.1.88-RXN: (expasy) Peptide deformylase [3.5.1.88]	489.906
3.5.1.88-RXN: (expasy) Peptide deformylase [3.5.1.88]|unclassified	489.906
325-BISPHOSPHATE-NUCLEOTIDASE-RXN: (expasy) 3'(2'),5'-bisphosphate nucleotidase [3.1.3.7]	284.706
325-BISPHOSPHATE-NUCLEOTIDASE-RXN: (expasy) 3'(2'),5'-bisphosphate nucleotidase [3.1.3.7]|unclassified	284.706
3PGAREARR-RXN: (expasy) Phosphoglycerate mutase (2,3-diphosphoglycerate-independent) [5.4.2.12]	813.0391000000001
3PGAREARR-RXN: (expasy) Phosphoglycerate mutase (2,3-diphosphoglycerate-independent) [5.4.2.12]|unclassified	813.0391000000001
4-NITROPHENYLPHOSPHATASE-RXN: (expasy) 4-nitrophenylphosphatase [3.1.3.41]	107.636
4-NITROPHENYLPHOSPHATASE-RXN: (expasy) 4-nitrophenylphosphatase [3.1.3.41]|unclassified	107.636
4.2.1.58-RXN: (metacyc) (3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase [4.2.1.59]	587.0914
4.2.1.58-RXN: (metacyc) (3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase [4.2.1.59]|unclassified	587.0914
4.2.1.59-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]	587.0914
4.2.1.59-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]|unclassified	587.0914
4.2.1.61-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]	587.0914
4.2.1.61-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]|unclassified	587.0914
4.2.2.12-RXN: (expasy) Xanthan lyase [4.2.2.12]	254.423
4.2.2.12-RXN: (expasy) Xanthan lyase [4.2.2.12]|unclassified	254.423
4.2.2.2-RXN: (expasy) Pectate lyase [4.2.2.2]	120.942
4.2.2.2-RXN: (expasy) Pectate lyase [4.2.2.2]|unclassified	120.942
4.2.2.21-RXN: (expasy) Chondroitin-sulfate-ABC exolyase [4.2.2.21]	178.122
4.2.2.21-RXN: (expasy) Chondroitin-sulfate-ABC exolyase [4.2.2.21]|unclassified	178.122
4.2.2.7-RXN: (expasy) Heparin lyase [4.2.2.7]	359.036
4.2.2.7-RXN: (expasy) Heparin lyase [4.2.2.7]|unclassified	359.036
4.2.2.8-RXN: (expasy) Heparin-sulfate lyase [4.2.2.8]	253.572
4.2.2.8-RXN: (expasy) Heparin-sulfate lyase [4.2.2.8]|unclassified	253.572
4.2.99.18-RXN: (expasy) DNA-(apurinic or apyrimidinic site) lyase [4.2.99.18]	560.761
4.2.99.18-RXN: (expasy) DNA-(apurinic or apyrimidinic site) lyase [4.2.99.18]|unclassified	560.761
4.3.1.17-RXN: (expasy) L-serine ammonia-lyase [4.3.1.17]	179.668
4.3.1.17-RXN: (expasy) L-serine ammonia-lyase [4.3.1.17]|unclassified	179.668
5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN: (expasy) 5-dehydro-2-deoxygluconokinase [2.7.1.92]	647.76
5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN: (expasy) 5-dehydro-2-deoxygluconokinase [2.7.1.92]|unclassified	647.76
5-FORMYL-THF-CYCLO-LIGASE-RXN: (expasy) 5-formyltetrahydrofolate cyclo-ligase [6.3.3.2]	257.6535
5-FORMYL-THF-CYCLO-LIGASE-RXN: (expasy) 5-formyltetrahydrofolate cyclo-ligase [6.3.3.2]|unclassified	257.6535
5-NUCLEOTID-RXN: (expasy) 5'-nucleotidase [3.1.3.5]	642.575
5-NUCLEOTID-RXN: (expasy) 5'-nucleotidase [3.1.3.5]|unclassified	642.575
5.3.1.17-RXN: (expasy) 5-dehydro-4-deoxy-D-glucuronate isomerase [5.3.1.17]	486.638
5.3.1.17-RXN: (expasy) 5-dehydro-4-deoxy-D-glucuronate isomerase [5.3.1.17]|unclassified	486.638
